images\cokes\image001.jpg,48
images\cokes\image002.jpg,0
images\cokes\image003.jpg,0
images\cokes\image004.jpg,0
images\cokes\image005.jpg,0
images\cokes\image006.jpg,11
images\cokes\image007.jpg,4
images\cokes\image008.jpg,1
images\cokes\image009.jpg,80
images\cokes\image010.jpg,1
images\cokes\image011.jpg,48
images\cokes\image012.jpg,10
images\cokes\image013.jpg,1
images\cokes\image014.jpg,0
images\cokes\image015.jpg,0
images\cokes\image016.jpg,0
images\cokes\image017.jpg,0
images\cokes\image018.jpg,128
images\cokes\image019.jpg,10
images\cokes\image020.jpg,48
images\cokes\image021.jpg,0
images\cokes\image022.jpg,0
images\cokes\image023.jpg,1
images\cokes\image024.jpg,0
images\cokes\image025.jpg,128
images\cokes\image026.jpg,6
images\cokes\image027.jpg,0
images\cokes\image028.jpg,0
images\cokes\image029.jpg,6
